,0,1
0,0.47769064,1.6126684
1,1.6112838,-0.8011079
2,0.21089579,-0.7091437
3,-0.48489738,0.38461715
4,0.14492455,1.0223306
5,-0.7467444,1.0238895
6,-0.30181035,1.4525768
7,0.6768759,-1.908076
8,1.1211275,-1.5022004
9,0.4206828,-1.1560016
10,-0.9069878,0.67299396
11,-1.7232594,0.24562535
12,-0.124009915,-0.06236571
13,-0.47237954,-0.5982606
14,-0.36903316,-1.5208404
15,-1.5133166,0.38810232
16,-0.30182382,-0.9496012
17,-0.40262088,1.4587557
18,-0.31887662,-0.65954417
19,0.8386622,1.3410184
20,-0.91063774,0.21868578
21,-0.065670125,1.8428352
22,-0.25714183,-0.018600062
23,0.14992636,-0.16429558
24,-0.3291038,-1.2644738
25,-1.6593744,0.71956223
26,0.90616405,-1.6426412
27,0.6065549,0.140646
28,1.2050867,0.34633565
29,1.2866149,-1.2456188
30,0.44644317,-0.48712212
31,0.08587213,-0.9124055
