,0,1
0,-1.4554687,1.1721988
1,-0.42825955,0.17116745
2,-1.3552797,-0.78664166
3,-0.65431404,2.1524642
4,0.57564217,1.6793591
5,-0.94680166,2.0061874
6,-0.57544684,1.9993855
7,-0.30600896,-0.40611628
8,0.27268168,0.9809744
9,0.6478977,0.7929532
10,0.24019614,-2.0362055
11,-0.3856586,1.6667612
12,0.06658094,-2.1236026
13,0.18624792,0.3646428
14,0.08903901,-1.2934633
15,1.1731638,0.7785333
16,-0.17945369,-0.65270704
17,0.54300797,-0.40493172
18,-0.24262291,-0.6514758
19,1.702473,-1.9797277
20,-0.2183394,1.8692046
21,-0.4424936,0.16298361
22,-0.7184158,1.9810799
23,-1.5059527,0.22100921
24,0.6487129,-0.12570173
25,1.2694292,-0.9662949
26,-1.0119743,1.8117166
27,1.2429962,0.7146008
28,-0.5427329,0.28683585
29,1.0258912,0.2764329
30,-0.6663524,0.99082875
31,-0.31880853,-1.6544389
