,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.2512927,0.33458412,0.22258553,-0.11458481,0.8243811,0.23865679,0.26301563,0.23980285,0.63183767,0.5110401,0.44394752,0.07552954,0.34280527,-0.26057494,0.072959065,0.7382659,-0.020920582,0.0132607585,0.10222978,0.6933829,0.10996726,0.14290325,0.035272736,-0.21361895,0.08779554,0.27399507,-0.72204024,0.25322405,0.95014566,0.22173117,1.1730464,0.358173
1,0.049287524,0.32768387,-0.0054502226,-0.1670513,0.83479464,0.3067052,0.3288041,0.48188,0.8787281,0.6568084,0.36690006,-0.28360823,0.27373433,0.03644629,0.18361911,0.91047144,0.017945895,0.32685965,0.039414864,0.8093736,0.21554673,0.28292382,0.05136659,-0.31949142,0.12255894,0.1986182,-0.6322009,-0.003837419,1.2635653,0.04745227,1.0833327,0.2644185
2,0.18488474,0.38753965,0.19603387,-0.19519253,0.9019088,0.13574146,0.40506715,0.13228136,1.0459692,0.6393114,0.78592855,-0.06668742,0.4059986,-0.2163748,0.2733701,1.2145184,0.38831267,0.34958172,0.34463897,1.1415448,0.30783224,0.28111622,0.38628188,-0.32064462,-0.15038985,0.096223086,-0.58856255,0.19593365,1.1557345,0.27471232,1.0796596,0.22405836
3,0.11636389,0.6548778,0.10966435,0.002568852,0.47841346,0.10516536,0.47896135,1.0995941,0.6495013,0.63594437,0.40276104,-0.30375153,0.33812276,0.017334858,0.23194124,0.50540286,0.20018597,0.16533121,0.3197881,0.48021162,0.15825062,0.2567002,0.34739292,-0.1024169,-0.28358427,0.19170712,0.228799,0.2450651,0.7083533,0.2923168,1.6605237,0.008306637
4,0.26616699,0.48046753,0.34900546,-0.24143386,0.3851948,0.34567985,0.33912218,1.0582563,0.50730604,0.6265364,0.35891148,-0.26693273,0.3953705,-0.15212902,0.2757024,0.5074084,0.12840582,0.39337364,0.2907707,0.48306397,0.37308696,0.31022072,0.06418426,-0.15558773,-0.14242275,0.21030347,0.45693454,0.22000924,0.72094053,0.25930953,1.3984612,0.15731668
5,0.206633,0.3165925,0.109464824,-0.25253856,0.48033726,0.11053218,0.3279183,0.6385337,0.75794315,0.72842014,0.31075907,-0.25253755,0.3144423,-0.22055818,0.3089441,0.6411732,0.14280778,0.32972306,0.2467149,0.6499817,0.19014212,0.13956515,0.12714249,-0.31785858,-0.0976981,0.11046398,0.30080116,0.20868684,0.88360626,0.08740274,1.4415026,0.040908344
6,0.36427623,0.42010522,0.05203775,-0.25745863,0.7151295,0.23468265,0.5169825,0.37057012,1.0486112,0.8637353,0.5543394,-0.20753744,0.4256458,-0.43392155,0.5218594,1.3193198,0.23931906,0.33881453,0.08264541,1.2276425,0.1364339,0.2607106,0.16442285,-0.6013212,-0.115917355,0.40483734,-0.90139043,0.13371256,1.3244013,0.34881324,0.9165179,0.23724885
7,0.19952743,0.13667636,0.025779031,-0.19809851,0.58454293,0.218898,0.04848637,0.32457322,0.7621854,0.4837059,0.52417743,-0.20246637,0.49687043,-0.07499915,0.14197026,1.045876,0.14314114,0.23694798,0.111771934,0.7566706,0.25645408,0.15182216,0.20820458,-0.45504546,0.042102918,0.20267472,-0.6199754,0.27809078,1.0474474,0.033037223,0.9343202,0.24636607
8,0.34913653,0.7386265,0.36416578,-0.1525022,0.379023,0.18115377,0.41728273,1.2313746,0.4499141,0.6954524,0.10888497,-0.115490384,0.5676418,-0.298471,0.2745069,0.6980632,0.1297113,0.32477522,0.33195862,0.21700612,0.048879325,0.17820045,0.18876216,-0.045167644,-0.28998885,0.13703859,0.47277614,0.09208023,0.64386845,0.18462336,1.4180912,0.14074858
9,0.13904321,-0.5154603,0.30801773,0.10965082,-0.46479124,-0.19709468,-0.6340838,0.011153171,-1.1372397,-0.5878322,-0.49643308,0.39179003,-0.8399833,-0.12174139,-0.053264007,-1.164276,-0.13702202,-0.30628586,0.12355206,-1.3603576,0.067144506,0.13104005,0.30069667,0.21391638,-0.076898985,-0.34934697,0.3588843,-0.32449004,-1.2864906,-0.18426675,-0.73175204,0.007512121
10,0.052218832,0.6382423,0.3922323,-0.23530687,0.5376973,0.2911063,0.25998852,0.72473365,0.3860228,0.6141371,0.078564405,-0.017958181,0.3452907,-0.14438713,0.13442886,0.6254632,0.12466279,0.2212816,0.31401002,0.47664604,0.19235998,0.34245345,0.33587787,-0.36913645,-0.22212805,0.0852497,0.03430398,-0.016386181,0.60151076,0.12308206,1.447483,0.27909124
11,0.94094014,0.06012359,0.8467405,0.5364638,0.43861267,-1.188894,-0.89864564,0.69015235,-0.19701271,0.3244367,0.8496888,0.7570552,0.23744826,-0.273055,-0.66230696,-0.63517356,0.64150465,-1.1760159,0.8255988,-0.5040775,0.76839584,0.62138486,0.6296529,-0.35825118,-1.0378786,-0.6741721,1.1814251,-0.6001544,-0.9020257,-0.8024095,-0.5314974,0.3737348
12,0.2613426,0.43519917,0.33596057,0.0334911,0.5159289,0.28885883,0.32578486,0.94239396,0.56157404,0.39997202,0.22410725,-0.018147027,0.47668165,-0.18932079,0.18166511,0.51663935,0.1813327,0.234744,0.20986813,0.27857888,0.25763825,0.18682908,0.1652472,-0.31262782,-0.28353044,0.15277903,0.2941295,0.27961546,0.77975684,0.19173783,1.4837885,0.25678986
13,0.44027126,0.52317244,0.43616435,-0.26876926,0.36831543,0.13409273,0.18874592,1.1954507,0.30304408,0.5694375,0.2652375,0.0067053745,0.44858918,-0.18830985,0.21572034,0.61748314,0.41540724,0.1658934,0.3545058,0.28446862,0.13013043,0.3636747,0.23831533,-0.53978115,-0.45565975,0.32109588,0.4651833,0.06757485,0.6803119,0.32529387,1.4024625,0.43258482
14,0.10758889,0.43788037,0.07564693,-0.4230062,0.5186863,0.17649683,0.2925008,0.06226033,0.82314134,0.812284,0.5611464,-0.41238394,0.49370894,-0.23039423,0.21459946,1.2965659,0.21733823,0.42622456,0.2853757,0.99933505,0.17228113,0.05577436,0.23165552,-0.34185368,-0.027461212,0.30437955,-0.5526614,0.26495126,1.2348677,0.39301988,0.81286377,0.023866713
15,0.030220572,0.34083334,0.10948403,-0.18234335,0.8755068,0.32521573,0.17913264,0.48444715,0.8981371,0.6518009,0.5112355,-0.052845467,0.52202964,-0.051010672,0.14881733,1.1318918,0.16233298,0.38139573,0.10213533,1.0169749,0.029493941,0.34351102,0.17000651,-0.33963397,-0.094513096,0.094759256,-0.7620412,0.10945191,1.2033046,0.00915376,0.85097027,0.34359404
16,0.3539835,0.38925803,0.27909544,-0.32128796,0.64942473,0.17388979,0.3891451,0.35158727,0.7195792,0.6271043,0.5819704,-0.25854352,0.2346701,-0.24329276,0.29494148,1.0202302,0.18579149,0.16112646,0.121635966,1.0140742,0.28150082,0.1388099,0.24326563,-0.3209365,-0.019470004,0.22137924,-0.51877683,0.20107672,1.2420036,0.06930767,0.8535272,0.22557838
17,-0.06651924,0.14199865,0.080192655,-0.093605556,0.64658535,0.15818751,0.35600302,0.65230256,0.7222518,0.6316707,0.47245634,-0.15304309,0.22375695,-0.10090137,0.25934866,0.8059597,0.21436012,0.36124715,0.076110356,0.58695614,-0.023782918,0.29964238,-0.009926355,-0.3659368,-0.102802865,0.17823133,-0.71134263,0.2878869,1.1872412,0.32693425,1.3627077,0.0968386
18,0.13690501,0.45167515,0.13484445,-0.21293338,0.5584475,0.33309457,0.3773223,0.93268496,0.41522065,0.59832245,0.21379575,-0.28825358,0.3141416,-0.18613838,0.12504384,0.51454693,0.21291037,0.2050577,0.34492898,0.24763803,0.3366503,0.3344688,0.32721636,-0.21680307,-0.38562363,0.30099568,0.20681642,0.087849766,0.73170143,0.37893996,1.4069693,0.20906466
19,0.12201407,0.46582186,0.40175912,-0.19814387,0.72253567,0.35544354,0.4055145,0.24309213,0.74263424,0.66423756,0.45801508,-0.27486125,0.378568,-0.25494108,0.26227593,1.1774168,0.20520337,0.30135435,0.16936173,1.1488718,0.4261442,0.13725224,0.2378346,-0.49971366,-0.16340117,0.0756097,-0.8015466,0.031044472,1.30356,0.14661475,1.1308383,0.379547
20,0.26085708,0.35964802,0.14278182,-0.45799848,0.678457,0.23171245,0.20760623,0.22582929,1.0819811,0.8224617,0.7421602,-0.2621328,0.46632746,-0.3488174,0.2693861,1.0854163,0.26178122,0.23235643,0.27039212,0.92723984,0.26075375,0.13339533,0.22482142,-0.4105881,-0.20664412,0.18319102,-0.77051085,0.2700288,1.3332831,0.31442824,0.9510028,0.25639698
21,-0.16193134,-0.4949278,-0.33043462,0.11708185,-0.57189053,-0.43000054,-0.3903738,-0.6910286,-0.5923352,-0.70875365,-0.310557,0.1679312,-0.45258835,0.12636973,-0.4828815,-0.8363258,-0.3089157,-0.18758896,-0.2823569,-0.64410406,-0.19696732,-0.18407908,-0.36611214,0.4860864,0.07771609,-0.29685342,-0.054060336,-0.18707877,-0.8610728,-0.088648975,-1.3106294,-0.056053214
22,0.25334284,0.5358734,0.39742824,-0.1527187,0.58919555,0.24658558,0.18493424,1.0106826,0.5353625,0.3481166,0.43687037,-0.009815152,0.56814104,-0.26938346,0.19784875,0.4889232,0.3738937,0.122250706,0.36171407,0.2900736,0.39335653,0.3708817,0.29211745,-0.5088117,-0.3813962,0.19550069,0.33776674,0.26339093,0.6951757,0.07687665,1.5085101,0.3453784
23,-0.2272965,-0.40888503,-0.2837172,-0.058854517,-0.6700162,-0.40085685,-0.3991799,-0.799082,-0.39137578,-0.59818095,-0.31900492,0.24343799,-0.49329048,-0.027411073,-0.41341743,-0.41353756,-0.07380672,-0.419095,-0.31629062,-0.20434618,-0.27953538,-0.07008203,-0.12898608,-0.095097706,0.016011618,-0.037688572,-0.36150616,-0.25776523,-0.7449489,-0.019479165,-1.2299407,-0.3082737
