,0
0,0.3798068
1,0.1741453
2,0.1716024
3,-0.20327316
4,0.41395247
5,0.30380782
6,0.2898274
7,-0.44871184
8,-0.48813766
9,-0.22660254
10,0.19256985
11,-0.4530157
12,-0.1967599
13,-0.30941266
14,0.11433575
15,-0.65363306
16,0.38516045
17,0.3806317
18,0.048304923
19,-0.4378146
20,0.27833444
21,0.13053766
22,0.25619498
23,-0.07780916
24,-0.27254397
25,0.21477363
26,-0.01549295
27,0.31145543
28,-0.7736638
29,0.31184977
30,-0.93619066
31,0.06432416
