,0
0,-0.30703822
1,-0.0029204965
2,0.07747981
3,0.106668405
4,-0.06999949
5,0.1994295
6,-0.355001
7,0.19100153
8,-0.11567114
9,0.20485722
10,-0.06514853
11,-0.0006989545
12,0.051700905
13,0.26975778
14,0.23012216
15,0.22914906
16,0.0035458372
17,0.03890152
18,0.15881406
19,-0.10945134
20,0.1128716
21,0.25959417
22,-0.16306174
23,0.23242898
24,0.05824127
25,0.25109485
26,0.0494998
27,-0.26974595
28,-0.07466865
29,-0.19703595
30,-0.34381112
31,0.16802543
